experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Senior,Full-time,242100,United States,M,Data Architecture and Modeling
Senior,Full-time,116200,United States,M,Data Architecture and Modeling
Mid-level,Full-time,189000,United States,M,Cloud and Database
Mid-level,Full-time,106000,United States,M,Cloud and Database
Entry-level,Full-time,101200,United States,M,Data Science and Research
Entry-level,Full-time,57700,United States,M,Data Science and Research
Senior,Full-time,160000,United States,M,Data Engineering
Senior,Full-time,77400,United States,M,Data Engineering
Senior,Full-time,270000,United States,M,Machine Learning and AI
Senior,Full-time,153000,United States,M,Machine Learning and AI
Entry-level,Full-time,90300,United States,M,Data Analysis
Entry-level,Full-time,50200,United States,M,Data Analysis
Entry-level,Full-time,146000,United States,M,Data Engineering
Entry-level,Full-time,98000,United States,M,Data Engineering
Mid-level,Full-time,105000,Australia,M,Data Management and Strategy
Mid-level,Full-time,80000,Australia,M,Data Management and Strategy
Senior,Full-time,300000,United States,M,Data Engineering
Senior,Full-time,200000,United States,M,Data Engineering
Executive,Full-time,125000,United States,M,Data Analysis
Executive,Full-time,100000,United States,M,Data Analysis
Senior,Full-time,165000,United States,M,Data Engineering
Senior,Full-time,100000,United States,M,Data Engineering
Mid-level,Full-time,115000,United States,M,Data Engineering
Mid-level,Full-time,75000,United States,M,Data Engineering
Senior,Full-time,96643,Canada,M,Data Science and Research
Senior,Full-time,51543,Canada,M,Data Science and Research
Mid-level,Full-time,181280,United States,M,BI and Visualization
Mid-level,Full-time,164800,United States,M,BI and Visualization
Mid-level,Full-time,107500,United States,M,Data Analysis
Mid-level,Full-time,96750,United States,M,Data Analysis
Senior,Full-time,96750,United States,M,Data Science and Research
Senior,Full-time,69600,United States,M,Data Science and Research
Mid-level,Full-time,150000,United States,M,Data Science and Research
Mid-level,Full-time,127500,United States,M,Data Science and Research
Executive,Full-time,225000,United States,M,Data Engineering
Executive,Full-time,190000,United States,M,Data Engineering
Senior,Full-time,245000,United States,M,Data Science and Research
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,175000,United States,M,Data Architecture and Modeling
Senior,Full-time,117000,United States,M,Data Architecture and Modeling
Senior,Full-time,190000,United States,M,Data Science and Research
Senior,Full-time,136000,United States,M,Data Science and Research
Senior,Full-time,245400,United States,M,Data Science and Research
Senior,Full-time,139000,United States,M,Data Science and Research
Mid-level,Full-time,170000,United States,M,Data Science and Research
Mid-level,Full-time,120000,United States,M,Data Science and Research
Senior,Full-time,169900,United States,M,Data Engineering
Senior,Full-time,135920,United States,M,Data Engineering
Senior,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,160000,United States,M,Data Science and Research
Senior,Full-time,240000,United States,M,Data Science and Research
Senior,Full-time,204000,United States,M,Data Science and Research
Senior,Full-time,185000,United States,M,Data Science and Research
Senior,Full-time,123000,United States,M,Data Science and Research
Mid-level,Full-time,170000,United States,M,Data Science and Research
Mid-level,Full-time,140000,United States,M,Data Science and Research
Senior,Full-time,90000,United Arab Emirates,L,Machine Learning and AI
Senior,Full-time,180500,United States,M,Machine Learning and AI
Senior,Full-time,96200,United States,M,Machine Learning and AI
Senior,Full-time,235000,Australia,M,Machine Learning and AI
Senior,Full-time,175000,Australia,M,Machine Learning and AI
Mid-level,Full-time,95413,United States,M,BI and Visualization
Mid-level,Full-time,70692,United States,M,BI and Visualization
Senior,Full-time,110000,Ukraine,M,Data Engineering
Senior,Full-time,48000,Ukraine,M,Data Engineering
Senior,Full-time,222300,United States,M,Data Science and Research
Senior,Full-time,119700,United States,M,Data Science and Research
Senior,Full-time,170375,United States,M,Cloud and Database
Senior,Full-time,102500,United States,M,Cloud and Database
Senior,Full-time,270000,Australia,M,Data Engineering
Senior,Full-time,190000,Australia,M,Data Engineering
Mid-level,Full-time,98000,United States,M,Data Engineering
Mid-level,Full-time,68300,United States,M,Data Engineering
Mid-level,Full-time,223100,United States,M,Machine Learning and AI
Mid-level,Full-time,126400,United States,M,Machine Learning and AI
Senior,Full-time,283800,United States,M,Data Engineering
Senior,Full-time,198900,United States,M,Data Engineering
Mid-level,Full-time,166000,United States,M,Data Science and Research
Mid-level,Full-time,73000,United States,M,Data Science and Research
Entry-level,Full-time,130000,United States,M,Data Analysis
Entry-level,Full-time,100000,United States,M,Data Analysis
Senior,Full-time,220000,United States,M,Machine Learning and AI
Senior,Full-time,137500,United States,M,Machine Learning and AI
Senior,Full-time,234000,United States,M,Data Science and Research
Senior,Full-time,146000,United States,M,Data Science and Research
Entry-level,Full-time,44000,Lithuania,M,Data Analysis
Entry-level,Full-time,37333,Lithuania,M,Data Analysis
Senior,Full-time,275000,United States,M,Data Engineering
Senior,Full-time,200000,United States,M,Data Engineering
Senior,Full-time,204000,United States,M,Data Engineering
Senior,Full-time,163200,United States,M,Data Engineering
Mid-level,Full-time,135000,United States,M,Data Science and Research
Mid-level,Full-time,110000,United States,M,Data Science and Research
Senior,Full-time,195000,United States,M,Machine Learning and AI
Senior,Full-time,170000,United States,M,Machine Learning and AI
Mid-level,Full-time,210000,United States,M,Data Engineering
Mid-level,Full-time,130000,United States,M,Data Engineering
Mid-level,Full-time,136000,United States,M,Data Science and Research
Mid-level,Full-time,106700,United States,M,Data Science and Research
Mid-level,Full-time,164000,United States,M,Data Science and Research
Mid-level,Full-time,131000,United States,M,Data Science and Research
Mid-level,Full-time,250000,United States,M,Data Science and Research
Mid-level,Full-time,170000,United States,M,Data Science and Research
Senior,Full-time,175000,United States,M,Data Analysis
Senior,Full-time,117000,United States,M,Data Analysis
Senior,Full-time,205500,United States,M,Data Engineering
Senior,Full-time,135000,United States,M,Data Engineering
Senior,Full-time,146000,United States,M,Data Engineering
Senior,Full-time,82500,United States,M,Data Engineering
Mid-level,Full-time,240000,United States,M,Data Science and Research
Mid-level,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,157500,United States,M,Data Analysis
Senior,Full-time,132500,United States,M,Data Analysis
Senior,Full-time,209943,United States,M,Data Engineering
Senior,Full-time,155175,United States,M,Data Engineering
Senior,Full-time,244800,United States,M,Data Science and Research
Senior,Full-time,172000,United States,M,Data Science and Research
Senior,Full-time,250000,United States,M,Data Science and Research
Senior,Full-time,200000,United States,M,Data Science and Research
Senior,Full-time,280000,United States,M,Data Science and Research
